# link_lengths=0.55,0.4
theta_0,theta_1,gt_x,gt_y
1.799574493999999969e-01,3.516258239750000314e+01,2.581687532074413149e-01,-1.842926769378858964e-01
-2.350468370000000085e-02,3.525852966309999914e+01,2.381926215588899831e-01,-2.636670418875806665e-01
-2.177954464999999895e-01,3.538100433350000174e+01,2.081630456999060685e-01,-3.465744094458971247e-01
-3.669864534999999761e-01,3.546326446529999998e+01,1.700386086224719984e-01,-4.025707111379679959e-01
-4.372824727999999883e-01,3.545719146729999949e+01,1.402526065585622539e-01,-4.113488556157136600e-01
-4.177819489999999858e-01,3.534659576420000349e+01,1.299517567183664513e-01,-3.682826530291877232e-01
-4.011611937999999822e-01,3.519517898560000191e+01,1.174687764811246926e-01,-3.084882397129463660e-01
-3.936443030999999815e-01,3.498150634769999812e+01,1.081186932467601558e-01,-2.230913723023493500e-01
-4.013859630000000123e-01,3.477151107790000140e+01,1.132889935983127927e-01,-1.403622976581929138e-01
-3.999385238000000009e-01,3.457877349849999860e+01,1.349359594381905891e-01,-6.626965483946523072e-02
-3.782393931999999959e-01,3.442632675170000311e+01,1.619152389890369248e-01,-8.034164467627197270e-03
-3.248676061999999920e-01,3.435382843019999655e+01,1.758171587435480854e-01,2.616475955519431684e-02
-2.358383387000000109e-01,3.429020690920000192e+01,1.843482504493561547e-01,6.436322313018816299e-02
-1.397664248999999914e-01,3.422930908200000033e+01,1.876435644194153207e-01,1.038110183889359162e-01
-3.289837389999999973e-02,3.416237640380000329e+01,1.857901580560666344e-01,1.479449520409431007e-01
9.519133720000000354e-02,3.406811904909999811e+01,1.781897048756281854e-01,2.059073213359877697e-01
2.144671082000000062e-01,3.394758987430000019e+01,1.682720287210042187e-01,2.711486316881749348e-01
3.197814822000000223e-01,3.380245971680000139e+01,1.594161299256297570e-01,3.415625150800297716e-01
4.183009267000000198e-01,3.366103363039999863e+01,1.474465364138423662e-01,4.074819305717918283e-01
5.277093053000000422e-01,3.349862289429999862e+01,1.302969956465664936e-01,4.795784251958937761e-01
6.526004671999999784e-01,3.327562713620000068e+01,1.136011721115013917e-01,5.694188777121129696e-01
7.721372842999999486e-01,3.298291778560000154e+01,1.160568777570096799e-01,6.713456866667457668e-01
8.868914247000000417e-01,3.261357116700000347e+01,1.509284508012333492e-01,7.746763851699511871e-01
9.806945324000000408e-01,3.216189956670000072e+01,2.439487499406557958e-01,8.521368838994894945e-01
1.013775825500000005e+00,3.169936943049999911e+01,3.988337828288931464e-01,8.519828972820513435e-01
1.007281064999999920e+00,3.135422897340000148e+01,5.278966192850660377e-01,7.892958731286506824e-01
9.741294980000000381e-01,3.121004295350000035e+01,5.966908541466618976e-01,7.329171491628811985e-01
9.502680897999999932e-01,3.110131835940000045e+01,6.416777802781497009e-01,6.849477454443189117e-01
9.375416636000000192e-01,3.098606491090000148e+01,6.750242038247379339e-01,6.378186509171958063e-01
9.244137406000000334e-01,3.086229896549999907e+01,7.040835848184305856e-01,5.839866023805382333e-01
9.220007061999999642e-01,3.072173881530000017e+01,7.219900115422390741e-01,5.285856753130866448e-01
9.473467468999999808e-01,3.058106231689999888e+01,7.185837832576373874e-01,4.914263035691368020e-01
1.039322853100000055e+00,3.034934616090000148e+01,6.785936782134192047e-01,4.632320255370061535e-01
1.172168731700000022e+00,3.015235900880000131e+01,6.118150638390619234e-01,4.703683733737629158e-01
1.289366841299999900e+00,2.994770050050000165e+01,5.463699655145518586e-01,4.571998425796849896e-01
1.328529357899999930e+00,2.974585914609999904e+01,5.088434584502854463e-01,3.999634646600912502e-01
1.310418724999999895e+00,2.951267433170000132e+01,4.733393575523211494e-01,3.079757635433664209e-01
1.273188591000000036e+00,2.928044700619999929e+01,4.215585049450383259e-01,2.220882876213442492e-01
1.194215297700000011e+00,2.920555496220000080e+01,4.129137147106624606e-01,1.714240311990960497e-01
1.050097346300000067e+00,2.916606712340000129e+01,4.186494359294090084e-01,1.043282750305398188e-01
8.923951386999999791e-01,2.914616012569999981e+01,4.220404453851227533e-01,3.567672574147756626e-02
7.285894751999999475e-01,2.916929817200000130e+01,4.314560504110276917e-01,-3.324362290993587710e-02
5.966227054999999613e-01,2.901668357850000035e+01,3.630796123795927977e-01,-8.028106331246465110e-02
4.818005263999999843e-01,2.877008056640000078e+01,2.637659601676348720e-01,-7.679492967441836626e-02
3.314547836999999775e-01,2.858314132690000164e+01,1.992878100362824312e-01,-5.998186661732551883e-02
2.170576006000000113e-01,2.843221664429999862e+01,1.648826529084270742e-01,-2.804035278986204138e-02
1.216179505000000022e-01,2.834452438350000136e+01,1.532730715062536886e-01,-9.528696138809925054e-03
3.067124079999999919e-02,2.825625228879999895e+01,1.497730203265094095e-01,1.183081179957881646e-02
-5.704483760000000209e-02,2.811423873900000103e+01,1.584983221955989507e-01,5.481741227831456870e-02
-1.272848098999999900e-01,2.792500305180000097e+01,1.901295540555968389e-01,1.136920867929430978e-01
-1.757151037000000138e-01,2.769921302799999907e+01,2.490834632089717338e-01,1.767533221449019976e-01
-1.978975236000000137e-01,2.760028457639999999e+01,2.819302367084252081e-01,1.980985625497554969e-01
-1.896879673000000099e-01,2.759865570070000018e+01,2.807901553983814247e-01,2.008292269962457799e-01
-1.916505544999999866e-01,2.759861946110000019e+01,2.811948140005579577e-01,2.002871420786990486e-01
-1.917747854999999890e-01,2.759863471979999971e+01,2.812150385626775995e-01,2.002482599982511324e-01
-1.917105466000000036e-01,2.759864044189999888e+01,2.812004286609802173e-01,2.002648440934476637e-01
-1.916414052000000035e-01,2.759856796260000067e+01,2.812086913845737168e-01,2.003030390267726557e-01
-1.915850788000000027e-01,2.759862518310000112e+01,2.811799540571381373e-01,2.003040724737947809e-01
-1.916641890999999931e-01,2.759860610959999860e+01,2.812016177662170491e-01,2.002867625033429300e-01
-1.916636228999999969e-01,2.759868812559999895e+01,2.811764856219872710e-01,2.002657009176527780e-01
-1.915951073000000116e-01,2.759867858890000036e+01,2.811656725214095598e-01,2.002874332516135780e-01
-1.915967762000000130e-01,2.759866905209999999e+01,2.811689157229167457e-01,2.002894318356449044e-01
-1.916279197000000101e-01,2.759865188599999897e+01,2.811803895513833584e-01,2.002851169642396456e-01
-1.916540264999999910e-01,2.759865188599999897e+01,2.811856182590529163e-01,2.002777761757928432e-01
